id,category,factual_accuracy,clarity,neutrality,helpfulness,overall_score,gpt_response_length
1,Pregnancy/Reproductive Health,1,5,5,1,3.0,17
2,General Health,5,5,5,5,5.0,19
3,General Health,4,5,5,4,4.5,21
4,Mental Health,5,5,5,5,5.0,23
5,General Health,4,5,5,4,4.5,29
6,Pregnancy/Reproductive Health,4,5,5,4,4.5,23
7,Pregnancy/Reproductive Health,5,5,5,5,5.0,32
8,General Health,4,5,5,4,4.5,28
9,Medical Procedures,4,5,5,4,4.5,28
10,Medical Procedures,4,5,5,4,4.5,25
11,General Health,5,5,5,5,5.0,30
12,General Health,5,5,5,5,5.0,22
13,Medical Procedures,3,5,5,4,4.25,29
14,General Health,5,5,5,5,5.0,88
15,General Health,2,5,5,4,4.0,84
16,General Health,5,5,5,5,5.0,97
17,General Health,5,5,5,5,5.0,137
18,General Health,5,5,5,5,5.0,79
19,General Health,5,5,5,5,5.0,64
20,General Health,5,5,5,5,5.0,71
21,Pregnancy/Reproductive Health,5,5,5,5,5.0,72
22,General Health,5,5,5,5,5.0,83
23,General Health,4,5,5,5,4.75,107
24,General Health,5,5,5,5,5.0,99
25,General Health,5,5,5,5,5.0,62
26,General Health,5,5,5,5,5.0,86
27,General Health,5,5,5,5,5.0,80
28,General Health,4,5,5,5,4.75,90
29,General Health,5,5,5,5,5.0,68
30,General Health,5,5,5,5,5.0,63
